,Monit_MAP_CODE1,Year,LAKE_NAME,Mean_Secchi_Depth_Result,Mean_Phosporus_Result,Mean_EMV_Total,STD_EMV_Total,Mean_Sale_Value,STD_Sale_Value,Mean_Total_Tax,STD_Total_Tax,Mean_Garage_Size,STD_Garage_Size,Mean_Fin_SQ_FT,STD_Fin_SQ_FT,Percentage_Yes_Basement,Percentage_Yes_Garage,Percentage_Yes_Tax_Exempt,Percentage_Air_Cooling,Percentage_AC_Cooling,Percentage_Central_Cooling,Percentage_Other_Cooling,Percentage_No_Cooling,Percentage_Air_Heating,Percentage_Space_Heating,Percentage_Water_Heating,Percentage_Electric_Heating,Percentage_Other_Heating,Percentage_No_Heating
139,19002601-01,2007,Marion Lake,1.84,0.05160000000000001,318439.0559504283,398695.4487535349,162534.0147621651,158666.98400979358,3202.473300528522,5573.127911062011,,,2259.2223437215234,4447.953619738316,0.0,0.0,4.574448696919993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,19002601-01,2006,Marion Lake,2.016666666666667,0.04646666666666667,314233.0949761643,397265.5027932619,158411.22203887056,155324.0258750354,2992.718005133847,5413.985634759477,,,2219.5793912724607,4427.808668663815,0.0,0.0,4.565456545654565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,19002601-01,2005,Marion Lake,2.14,0.037333333333333336,285971.467940474,377180.5428972629,153010.02572110968,153326.85005926626,2673.893441117031,5320.722131340204,,,2124.6106926327393,4443.140515015678,0.0,0.0,4.574683079184274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,19002601-01,2004,Marion Lake,1.7966666666666669,0.03993333333333334,276364.3713183018,368814.7899791172,153763.7596993703,141002.0234340222,2654.5009140767825,5361.069100713983,,,2232.479991874873,4619.303488379262,0.0,0.0,4.6516351817997155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,19002700-01,2014,Crystal Lake,1.9600000000000002,0.024400000000000005,270669.7899838449,172098.5966201655,156326.48357565966,159421.23233652746,3357.570813139472,4366.40115221416,474.89876144318794,280.6382705248225,2245.6332794830373,1197.83758363071,0.0,84.22186322024771,5.061927840603123,87.93753365643511,0.0,0.32310177705977383,1.830910070005385,0.2154011847065159,88.58373721055466,0.0,1.615508885298869,0.0,0.0,0.10770059235325795
144,19002700-01,2013,Crystal Lake,1.807692307692307,0.02876923076923077,244346.25740441572,164218.82641979415,152809.76305869682,157810.65362266038,3229.5288099084546,4300.991670978926,475.7129779213786,281.3853276123177,2246.2514808831447,1201.817870447765,0.0,84.22186322024771,5.061927840603123,87.93753365643511,0.0,0.32310177705977383,1.830910070005385,0.2154011847065159,88.58373721055466,0.0,1.615508885298869,0.0,0.0,0.10770059235325795
145,19002700-01,2012,Crystal Lake,2.0142857142857142,0.03457142857142857,238648.08831448574,161364.41045364537,150831.4550350027,156988.83257322112,3398.0005385029617,4223.570176405414,516.2589129164231,254.97813035628596,2245.267097469036,1201.1618000918168,0.0,84.11416262789444,5.061927840603123,87.93753365643511,0.0,0.32310177705977383,1.830910070005385,0.2154011847065159,88.58373721055466,0.0,1.615508885298869,0.0,0.0,0.10770059235325795
146,19002700-01,2011,Crystal Lake,1.9999999999999998,0.02542857142857143,262226.2931034483,178590.2821008486,140523.3609913793,160139.17275340052,3384.472521551724,4126.446735277558,515.0438596491229,253.5582421446113,2246.4498922413795,1203.8527180515468,0.0,84.10560344827587,5.010775862068965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,19002700-01,2010,Crystal Lake,1.2869565217391306,0.053521739130434794,261769.30797675648,184183.6498282508,144995.9683042789,157417.5138085095,3306.4807184363444,3868.0523139234465,,,2190.3681986265187,1232.7110976619458,0.0,0.0,4.860010565240359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,19002700-01,2009,Crystal Lake,2.2733333333333334,0.03053333333333334,281629.00158478605,193466.54757491424,143193.7443211833,155359.32984214753,3406.7120972002112,3801.516301189542,,,2168.0522979397783,1187.3831723598905,0.0,0.0,4.860010565240359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
